Resultats entre rondes  1  i  6 

Score = Mitja Pts * log(Rondes + 1) * %Victoria
És la millor manera que he trobat de comparar:
punts, nº de rondes i WinRate%


Pos   Nick del codi   Score      Mitja Pts  %Victoria  Games  || %T1     T1  | %T2     T2  | %T3     T3  | %T4     T4  | %T5     T5 
105   PlayerPQ5       3444.26    2065.00    85.71%     7      || 83.33%  6   | 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0  
106   Andorra         3440.08    2651.78    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
107   Puiastra        3423.83    2346.00    75.00%     8      || 83.33%  6   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
108   Test1           3258.73    2232.88    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
109   K03             3240.01    2497.56    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
110   Eric            3221.27    2483.11    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
111   JugadorY        3207.29    2472.33    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
112   Xaluyu1_v7      3190.44    2732.60    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
113   DD9000          3182.07    2452.89    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
114   Regressorv3     3177.89    2449.67    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
115   SolerF          3159.15    2435.22    66.67%     9      || 83.33%  6   | 0.00%   1   | 0.00%   1   | 100.00% 1   | 0.00%   0  
116   Jonny3          3153.65    2160.88    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
117   Bandicoot222    3121.43    2673.50    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
118   Moon            3061.28    2359.78    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
119   J6_0            3046.95    2609.70    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
120   ROSALIA         3026.97    4367.00    100.00%    1      || 100.00% 1   | 0.00%   0   | 0.00%   0   | 0.00%   0   | 0.00%   0  
121   KingLlepisM     2986.47    2557.90    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
122   max             2984.71    2556.40    60.00%     10     || 66.67%  6   | 0.00%   2   | 100.00% 2   | 0.00%   0   | 0.00%   0  
123   AndreuCua       2973.86    2547.10    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
124   ProfAble_0      2966.00    2286.33    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
125   Andreav1        2954.07    2024.12    75.00%     8      || 83.33%  6   | 0.00%   1   | 100.00% 1   | 0.00%   0   | 0.00%   0  
126   Semilo          2940.63    2266.78    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
127   ninusete9999    2903.30    2238.00    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
128   paddy           2893.41    2478.20    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
129   Aberroncho_5    2880.22    2466.90    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
130   R2D2_V2         2859.55    2449.20    60.00%     10     || 33.33%  6   | 100.00% 4   | 0.00%   0   | 0.00%   0   | 0.00%   0  
131   Damao6          2798.49    2396.90    60.00%     10     || 66.67%  6   | 50.00%  2   | 0.00%   1   | 100.00% 1   | 0.00%   0  
132   carabassa       2769.10    2134.56    66.67%     9      || 50.00%  6   | 100.00% 3   | 0.00%   0   | 0.00%   0   | 0.00%   0  
133   Kiku2_final     2764.90    1894.50    75.00%     8      || 66.67%  6   | 100.00% 2   | 0.00%   0   | 0.00%   0   | 0.00%   0  
134   AIriqui         2753.07    2358.00    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
135   AIAltimira3     2708.85    2088.11    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
136   CaixaOFaixa     2700.35    2081.56    66.67%     9      || 83.33%  6   | 0.00%   1   | 0.00%   1   | 100.00% 1   | 0.00%   0  
137   Moreno          2695.78    2539.82    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
138   RayanAir        2669.43    2515.00    54.55%     11     || 33.33%  6   | 75.00%  4   | 100.00% 1   | 0.00%   0   | 0.00%   0  
139   ale2            2635.28    2482.82    54.55%     11     || 50.00%  6   | 66.67%  3   | 0.00%   1   | 100.00% 1   | 0.00%   0  
140   eviljosemi      2629.49    2477.36    54.55%     11     || 16.67%  6   | 100.00% 5   | 0.00%   0   | 0.00%   0   | 0.00%   0  
141   klonoxv3        2587.92    1994.89    66.67%     9      || 66.67%  6   | 50.00%  2   | 100.00% 1   | 0.00%   0   | 0.00%   0  
142   Cirera          2574.29    2425.36    54.55%     11     || 16.67%  6   | 100.00% 5   | 0.00%   0   | 0.00%   0   | 0.00%   0  
143   Jaume3          2561.71    2194.10    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
144   Reus            2554.24    2187.70    60.00%     10     || 50.00%  6   | 66.67%  3   | 100.00% 1   | 0.00%   0   | 0.00%   0  
